Spike_Number,Time_seconds,Voltage_Drop_mV,Peak_Voltage_mV,Inter_Spike_Interval_s,Spike_Category
183,166435,-0.186,-0.218,4.0,Medium
184,166448,-0.16099999999999998,-0.282,13.0,Small
185,166452,-0.204,-0.241,4.0,Medium
186,166461,-0.153,-0.181,9.0,Small
187,166475,-0.174,-0.24,14.0,Small
188,166480,-0.17099999999999999,-0.219,5.0,Small
189,166482,-0.173,-0.22,2.0,Small
190,166484,-0.152,-0.245,2.0,Small
191,166486,-0.195,-0.233,2.0,Medium
192,166492,-0.19899999999999998,-0.241,6.0,Medium
193,166494,-0.152,-0.22,2.0,Small
194,166511,-0.182,-0.25,17.0,Medium
195,166521,-0.181,-0.257,10.0,Medium
196,166523,-0.191,-0.26,2.0,Medium
197,166525,-0.15000000000000002,-0.222,2.0,Small
198,166528,-0.175,-0.224,3.0,Small
199,166538,-0.161,-0.192,10.0,Small
200,166542,-0.19399999999999998,-0.235,4.0,Medium
201,166550,-0.17200000000000001,-0.234,8.0,Small
202,166555,-0.21000000000000002,-0.254,5.0,Large
203,166567,-0.15100000000000002,-0.227,12.0,Small
204,166585,-0.181,-0.221,18.0,Medium
205,166587,-0.169,-0.232,2.0,Small
206,166590,-0.215,-0.236,3.0,Large
207,166594,-0.178,-0.206,4.0,Small
208,166601,-0.194,-0.215,7.0,Medium
209,166617,-0.17200000000000001,-0.225,16.0,Small
210,166620,-0.191,-0.249,3.0,Medium
211,166626,-0.20600000000000002,-0.25,6.0,Medium
212,166656,-0.186,-0.228,30.0,Medium
213,166663,-0.212,-0.251,7.0,Large
214,166665,-0.21300000000000002,-0.257,2.0,Large
215,166674,-0.155,-0.243,9.0,Small
216,166677,-0.158,-0.2,3.0,Small
217,166683,-0.167,-0.23,6.0,Small
218,166685,-0.19999999999999998,-0.213,2.0,Medium
219,166693,-0.169,-0.233,8.0,Small
220,166702,-0.187,-0.229,9.0,Medium
221,166704,-0.176,-0.219,2.0,Small
222,166710,-0.17800000000000002,-0.232,6.0,Small
223,166712,-0.187,-0.272,2.0,Medium
224,166720,-0.158,-0.193,8.0,Small
225,166728,-0.191,-0.226,8.0,Medium
226,166736,-0.182,-0.216,8.0,Medium
227,166741,-0.20900000000000002,-0.231,5.0,Medium
228,166745,-0.164,-0.251,4.0,Small
229,166747,-0.16,-0.19,2.0,Small
230,166754,-0.221,-0.243,7.0,Large
231,166771,-0.20800000000000002,-0.227,17.0,Medium
232,166776,-0.155,-0.219,5.0,Small
233,166778,-0.195,-0.217,2.0,Medium
234,166787,-0.204,-0.24,9.0,Medium
235,166793,-0.16999999999999998,-0.245,6.0,Small
236,166798,-0.207,-0.237,5.0,Medium
237,166807,-0.192,-0.231,9.0,Medium
238,166818,-0.191,-0.216,11.0,Medium
239,166822,-0.20299999999999999,-0.243,4.0,Medium
240,166827,-0.17900000000000002,-0.268,5.0,Small
241,166841,-0.208,-0.238,14.0,Medium
242,166850,-0.182,-0.247,9.0,Medium
243,166856,-0.181,-0.204,6.0,Medium
244,166867,-0.177,-0.241,11.0,Small
245,166873,-0.175,-0.25,6.0,Small
246,166882,-0.201,-0.255,9.0,Medium
247,166900,-0.16,-0.216,18.0,Small
248,166923,-0.20099999999999998,-0.24,23.0,Medium
249,166942,-0.15699999999999997,-0.205,19.0,Small
250,166951,-0.164,-0.219,9.0,Small
251,166957,-0.213,-0.252,6.0,Large
252,166973,-0.17,-0.221,16.0,Small
253,166983,-0.17200000000000001,-0.227,10.0,Small
254,166985,-0.169,-0.202,2.0,Small
255,167000,-0.209,-0.237,15.0,Medium
256,167015,-0.195,-0.267,15.0,Medium
257,167034,-0.21800000000000003,-0.274,19.0,Large
258,167037,-0.15500000000000003,-0.199,3.0,Small
259,167056,-0.181,-0.222,19.0,Medium
260,167058,-0.188,-0.21,2.0,Medium
261,167061,-0.192,-0.222,3.0,Medium
262,167072,-0.15200000000000002,-0.203,11.0,Small
263,167116,-0.163,-0.22,44.0,Small
264,167140,-0.169,-0.225,24.0,Small
265,167151,-0.15899999999999997,-0.206,11.0,Small
266,167168,-0.195,-0.265,17.0,Medium
267,167192,-0.201,-0.225,24.0,Medium
268,167194,-0.172,-0.249,2.0,Small
269,167218,-0.183,-0.232,24.0,Medium
270,167236,-0.15400000000000003,-0.202,18.0,Small
271,167242,-0.187,-0.233,6.0,Medium
272,167267,-0.17500000000000002,-0.227,25.0,Small
273,167269,-0.189,-0.257,2.0,Medium
274,167271,-0.185,-0.232,2.0,Medium
275,167284,-0.17099999999999999,-0.286,13.0,Small
276,167297,-0.158,-0.194,13.0,Small
277,167300,-0.17300000000000001,-0.227,3.0,Small
