Time,Channel_1,Channel_3,Channel_5,Channel_7,Channel_9
165026,-0.052,0.033,0.014,-0.105,0.081
165027,-0.052,0.032,0.006,-0.171,0.069
165028,-0.057,0.027,0.01,-0.155,0.089
165029,-0.06,0.022,0.007,-0.089,0.025
165030,-0.056,0.02,0.006,-0.06,0.007
165031,-0.049,0.017,0.008,-0.176,0.094
165032,-0.049,0.011,0.009,-0.095,0.043
165033,-0.048,0.004,0.006,-0.158,0.057
165034,-0.042,0.001,0.011,-0.152,0.093
165035,-0.042,0.009,0.005,-0.148,0.042
165036,-0.039,0.021,0.011,-0.117,0.078
165037,-0.034,0.024,0.006,-0.167,0.058
165038,-0.042,0.021,0.009,-0.176,0.103
165039,-0.033,0.021,0.005,-0.277,0.115
165040,-0.035,0.021,0.004,-0.184,0.107
165041,-0.037,0.009,0.011,-0.066,0.04
165042,-0.042,0.003,0.004,-0.235,0.107
165043,-0.027,0.002,0.01,-0.053,0.021
165044,-0.02,0.008,0.005,-0.24,0.107
165045,-0.021,0.012,0.005,-0.233,0.086
165046,-0.022,0.015,0.011,-0.08,0.04
165047,-0.02,0.012,0.005,-0.221,0.085
165048,-0.016,0.016,0.011,-0.07,0.031
165049,-0.009,0.021,0.006,-0.21,0.092
165050,0.014,0.024,0.004,-0.173,0.042
165051,0.008,0.022,0.01,-0.113,0.057
165052,-0.013,0.018,0.004,-0.195,0.056
165053,-0.017,0.026,0.009,-0.005,0.014
165054,-0.023,0.024,0.009,-0.231,0.133
165055,-0.018,0.033,0.004,-0.223,0.097
165056,-0.024,0.037,0.012,-0.053,0.025
165057,-0.031,0.045,0.006,-0.178,0.075
165058,-0.046,0.064,0.012,-0.12,0.081
165059,-0.041,0.068,0.006,-0.14,0.048
165060,-0.015,0.061,0.005,-0.121,0.009
165061,-0.013,0.036,0.009,-0.062,0.042
165062,-0.012,0.01,0.007,-0.138,0.054
165063,-0.017,0.008,0.007,-0.213,0.089
165064,-0.013,0.019,0.007,-0.057,0.022
165065,-0.02,0.014,0.01,-0.152,0.055
165066,-0.021,0.006,0.01,-0.166,0.107
165067,-0.025,0.005,0.005,-0.148,0.043
165068,-0.023,0.015,0.011,-0.127,0.081
165069,-0.017,0.021,0.008,-0.261,0.136
165070,-0.022,0.022,0.005,-0.263,0.099
165071,-0.019,0.023,0.01,-0.078,0.037
165072,-0.019,0.025,0.006,-0.193,0.077
165073,-0.021,0.02,0.01,-0.149,0.085
165074,-0.022,0.007,0.004,-0.15,0.044
165075,-0.022,0.013,0.012,-0.141,0.088
165076,-0.02,0.014,0.006,-0.141,0.037
165077,-0.021,0.024,0.012,-0.025,0.0
165078,-0.022,0.03,0.009,-0.204,0.118
165079,-0.03,0.023,0.009,-0.067,0.03
165080,-0.033,0.031,0.011,-0.112,0.077
165081,-0.038,0.034,0.007,-0.142,0.049
165082,-0.035,0.046,0.007,-0.212,0.102
165083,-0.032,0.051,0.01,-0.107,0.05
165084,-0.037,0.044,0.007,-0.121,0.039
165085,-0.031,0.033,0.007,-0.216,0.107
165086,-0.029,0.031,0.01,-0.083,0.036
165087,-0.034,0.031,0.007,-0.149,0.057
165088,-0.041,0.025,0.007,-0.197,0.102
